DyadID,Year,Org,SideA,SideAID,SideAComponents,SideB,SideBID,SideBComponents,StartDate,StartPrec,StartDate2,StartPrec2,EpEnd,EpEndDate,EpEndPrec,BestFatalityEstimate,LowFatalityEstimate,HighFatalityEstimate,Location,GWNOLocation,Region,Version
2-106,2009,3,Hol Dinka,1767,,Lou Nuer,1567,,2008-05-17,1,2008-05-17,1,1,2009-10-16,1,237,237,244,Sudan,625,4,2.5-2016
2-10676,1998,1,Hizb-i Wahdat,1142,,Junbish-i Milli-yi Islami,1144,,1995-02-20,2,1998-03-15,2,1,1998-03-19,1,101,101,101,Afghanistan,700,3,2.5-2016
2-10682,1995,1,Forces of Sayed Mansur Naderi,2518,,Hizb-i Islami-yi Afghanistan,1141,,1995-09-30,3,1995-10-29,1,1,1995-10-29,1,40,40,40,Afghanistan,700,3,2.5-2016
2-107,1995,1,LRA,1336,,SPLM/A,1312,,1995-10-30,3,1995-10-30,3,0,,0,36,36,36,Sudan,625,4,2.5-2016
2-107,1996,1,LRA,1336,,SPLM/A,1312,,1995-10-30,3,1995-10-30,3,0,,0,152,152,152,Sudan,625,4,2.5-2016
2-107,1997,1,LRA,1336,,SPLM/A,1312,,1995-10-30,3,1995-10-30,3,0,,0,100,100,100,Sudan,625,4,2.5-2016
2-107,1998,1,LRA,1336,,SPLM/A,1312,,1995-10-30,3,1995-10-30,3,1,1998-09-14,1,58,58,58,Sudan,625,4,2.5-2016
2-107,2004,1,LRA,1336,,SPLM/A,1312,,1995-10-30,3,2004-03-05,2,1,2004-12-22,1,142,142,142,Sudan,625,4,2.5-2016
2-108,2004,1,LTTE,1163,,LTTE - K,1233,,2004-03-30,1,2004-05-21,1,0,,0,60,60,80,Sri Lanka,780,3,2.5-2016
2-108,2005,1,LTTE,1163,,LTTE - K,1233,,2004-03-30,1,2004-05-21,1,0,,0,30,30,58,Sri Lanka,780,3,2.5-2016
2-108,2006,1,LTTE,1163,,LTTE - K,1233,,2004-03-30,1,2004-05-21,1,1,2006-12-30,1,97,97,136,Sri Lanka,780,3,2.5-2016
2-109,2006,3,Lumad,1234,,Moro,1235,,2006-06-22,1,2006-06-30,3,1,2006-06-30,3,25,25,25,Philippines,840,3,2.5-2016
2-10920,2009,3,Han Chinese,2460,,Uighur,2461,,2009-06-26,1,2009-07-07,2,1,2009-07-07,2,187,187,683,China,710,3,2.5-2016
2-11,2002,3,Ali-Gaf subclan of Abgal clan (Hawiye) ,1430,,Mahadade subclan of Abgal clan (Hawiye) ,1499,,2002-08-18,2,2002-08-20,1,1,2002-08-23,2,37,37,37,Somalia,520,4,2.5-2016
2-110,2008,3,Kikuyu,1795,,Luo,1768,,2007-12-31,1,2008-01-28,1,1,2008-02-18,1,42,42,82,Kenya,501,4,2.5-2016
2-111,2002,3,Ma'aliyah,1498,,Rizeigat Baggara,1564,,2002-05-25,2,2002-05-25,2,1,2002-05-25,2,53,27,53,Sudan,625,4,2.5-2016
2-111,2004,3,Ma'aliyah,1498,,Rizeigat Baggara,1564,,2002-05-25,2,2004-12-31,5,1,2004-12-31,5,69,69,69,Sudan,625,4,2.5-2016
2-111,2013,3,Ma'aliyah,1498,,Rizeigat Baggara,1564,,2002-05-25,2,2013-08-11,2,0,,0,229,229,248,Sudan,625,4,2.5-2016
2-111,2014,3,Ma'aliyah,1498,,Rizeigat Baggara,1564,,2002-05-25,2,2013-08-11,2,0,,0,395,346,495,Sudan,625,4,2.5-2016
2-11663,2014,1,Beltrán Leyva Cartel,1974,,Sinaloa Cartel,1636,,2008-05-08,1,2014-08-01,1,0,,0,48,48,101,Mexico,70,5,2.5-2016
2-11123,2013,2,Supporters of Awami League,1215,,Supporters of Jamaat-e-Islami,2765,,2013-01-31,1,2013-12-13,1,1,2013-12-17,1,31,24,33,Bangladesh,771,3,2.5-2016
2-112,2007,3,Mangal,1658,,Turi,1652,,2007-04-07,1,2007-11-17,1,0,,0,187,187,273,Pakistan,770,3,2.5-2016
2-112,2008,3,Mangal,1658,,Turi,1652,,2007-04-07,1,2007-11-17,1,1,2008-09-23,1,58,58,58,Pakistan,770,3,2.5-2016
2-11230,1989,3,Mohajir,2848,,Pashtun,2847,,1989-03-14,2,1989-03-18,1,1,1989-08-20,1,47,45,47,Pakistan,770,3,2.5-2016
2-11231,1989,3,Mohajir,2848,,Sindhi,2849,,1989-01-25,1,1989-04-19,1,0,,0,67,67,67,Pakistan,770,3,2.5-2016
2-11231,1990,3,Mohajir,2848,,Sindhi,2849,,1989-01-25,1,1989-04-19,1,1,1990-07-15,1,252,252,252,Pakistan,770,3,2.5-2016
2-11241,1990,3,Jatoi,2864,,Meher,2863,,1990-06-27,2,1990-06-27,2,1,1990-06-27,2,28,28,28,Pakistan,770,3,2.5-2016
2-11286,1989,3,Assamese,2922,,Bodo,1675,,1989-08-12,2,1989-08-12,2,1,1989-08-12,2,120,120,151,India,750,3,2.5-2016
2-113,2005,1,Mara 18 (Guatemala),1637,,Mara Salvatrucha (Guatemala),1638,,2001-04-26,3,2005-08-15,1,1,2005-09-19,1,56,56,56,Guatemala,90,5,2.5-2016
2-11301,1990,2,Supporters of MQM,2941,,Supporters of PPP,2930,,1990-02-14,1,1990-04-14,1,1,1990-04-14,1,26,26,26,Pakistan,770,3,2.5-2016
2-11308,1992,3,Khadadkhel,2952,,Oatizai,2951,,1992-09-18,2,1992-09-18,2,1,1992-09-18,2,50,50,50,Pakistan,770,3,2.5-2016
2-11309,1993,2,Supporters of Yousaf Ali Khan Magsi,2953,,Supporters of Zulfikar Ali Khan Magsi,2954,,1992-09-26,1,1993-08-30,1,1,1993-10-21,1,33,33,33,Pakistan,770,3,2.5-2016
2-11342,2009,1,Lashkar of Mohmand tribe,2987,,TTP,1199,,2009-07-04,1,2009-07-14,1,1,2009-11-15,1,53,53,53,Pakistan,770,3,2.5-2016
2-114,2003,3,Fiqi Muhumud subclan (Dir),1458,,Marehan subclan of Sede clan (Darod),1501,,2003-05-22,1,2003-10-27,1,1,2003-12-16,2,104,102,125,Somalia,520,4,2.5-2016
2-11433,2011,1,Black Axe,2114,,Eyie,3108,,2002-02-15,2,2011-05-19,1,1,2011-10-27,1,31,31,31,Nigeria,475,4,2.5-2016
2-11433,2013,1,Black Axe,2114,,Eyie,3108,,2002-02-15,2,2013-06-17,2,1,2013-09-10,1,39,39,39,Nigeria,475,4,2.5-2016
2-14318,2015,1,anti-Balaka,4201,,UPC,5999,,2014-10-09,1,2014-12-18,2,0,,0,147,147,170,Central African Republic,482,4,2.5-2016
2-115,2006,3,Majerteen subclan (Darod),1572,,Marehan subclan of Sede clan (Darod),1501,,2001-11-30,5,2006-02-17,2,1,2006-02-17,2,100,100,100,Ethiopia,530,4,2.5-2016
2-116,2004,3,Majerteen subclan (Darod),1572,,Ogaden clan (Darod),1522,,2004-06-10,2,2004-06-10,2,1,2004-06-10,2,54,54,54,Ethiopia,530,4,2.5-2016
2-11801,2015,3,Christians (CAR),3555,,Muslims (CAR),3556,,2007-03-14,1,2013-12-20,2,0,,0,108,108,108,Central African Republic,482,4,2.5-2016
2-11682,2013,2,Opponents of Mohamed Morsi,3307,,Supporters of Mohamed Morsi,3306,,2012-11-25,1,2013-06-30,1,1,2013-12-30,1,119,119,123,Egypt,651,2,2.5-2016
2-117,1997,3,Dassanetch,1574,,Turkana,1554,,1991-12-31,5,1997-06-30,1,1,1997-06-30,1,28,28,28,Kenya,501,4,2.5-2016
2-117,2000,3,Dassanetch,1574,,Turkana,1554,,1991-12-31,5,2000-02-23,1,1,2000-02-23,1,142,142,142,Kenya,501,4,2.5-2016
2-117,2005,3,Dassanetch,1574,,Turkana,1554,,1991-12-31,5,2005-07-31,3,1,2005-11-30,3,36,36,36,"Ethiopia, Kenya","530, 501",4,2.5-2016
2-117,2009,3,Dassanetch,1574,,Turkana,1554,,1991-12-31,5,2009-07-27,5,1,2009-11-30,3,54,54,54,"Kenya, Ethiopia","501, 530",4,2.5-2016
2-117,2011,3,Dassanetch,1574,,Turkana,1554,,1991-12-31,5,2011-05-02,1,1,2011-08-07,1,55,55,78,Kenya,501,4,2.5-2016
2-11735,2010,3,Birom,1443,,"Fulani, Hausa",547520,"1461, 1462",2001-12-30,1,2010-01-19,1,1,2010-01-20,2,333,333,400,Nigeria,475,4,2.5-2016
2-118,2006,1,MFDC Front Nord - MD,1508,,MFDC - S,1509,,2006-06-07,2,2006-06-15,2,1,2006-06-15,2,124,124,124,Senegal,433,4,2.5-2016
2-11801,2013,3,Christians (CAR),3555,,Muslims (CAR),3556,,03/14/2007,1,2013-12-20,2,0,,0,47,47,47,Central African Republic,482,4,2.5-2016
2-11801,2014,3,Christians (CAR),3555,,Muslims (CAR),3556,,2007-03-14,1,2013-12-20,2,0,,0,461,448,509,Central African Republic,482,4,2.5-2016
2-127,2006,3,"Nyangatom, Toposa",553002,"1573, 1553",Turkana,1554,,2006-01-13,1,2006-01-13,1,1,2006-01-13,1,58,58,58,Kenya,501,4,2.5-2016
2-11810,2013,3,Amothnhon Dinka ,3568,,Panyon Dinka ,3569,,2013-01-16,1,2013-01-18,1,1,2013-01-18,1,25,25,25,South Sudan,626,4,2.5-2016
2-119,2008,3,Misseriya,1904,,Rizeigat Abbala,1536,,2004-12-31,5,2008-08-20,1,0,,0,67,67,67,Sudan,625,4,2.5-2016
2-119,2009,3,Misseriya,1904,,Rizeigat Abbala,1536,,2004-12-31,5,2008-08-20,1,0,,0,244,244,264,Sudan,625,4,2.5-2016
2-119,2010,3,Misseriya,1904,,Rizeigat Abbala,1536,,2004-12-31,5,2008-08-20,1,1,2010-08-18,2,342,342,342,Sudan,625,4,2.5-2016
2-119,2012,3,Misseriya,1904,,Rizeigat Abbala,1536,,2004-12-31,5,2012-07-19,1,1,2012-07-19,1,58,58,116,Sudan,625,4,2.5-2016
2-150,1992,3,Toposa,1553,,Turkana,1554,,1992-10-31,3,1992-10-31,3,1,1992-10-31,3,200,200,200,Sudan,625,4,2.5-2016
2-12,2002,3,Alur,1431,,Lendu,1495,,2002-01-31,3,2002-01-31,3,1,2002-01-31,3,50,50,74,DR Congo (Zaire),490,4,2.5-2016
2-120,2003,3,Mohamed Muse subclan of Abgal clan (Hawiye),1513,,Warsangeli subclan of Abgal clan (Hawiye),1560,,2003-03-01,1,2003-05-28,1,1,2003-07-30,1,64,64,76,Somalia,520,4,2.5-2016
2-121,2008,1,MDF,1769,,SLDF,1565,,2008-01-31,3,2008-01-31,3,1,2008-01-31,3,32,32,32,Kenya,501,4,2.5-2016
2-12132,2013,1,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1935,,Yan Gora,4000,,2013-07-25,1,2013-08-25,1,0,,0,92,92,131,Nigeria,475,4,2.5-2016
2-12132,2014,1,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1935,,Yan Gora,4000,,2013-07-25,1,2013-08-25,1,0,,0,493,493,512,Nigeria,475,4,2.5-2016
2-14746,2015,1,Forces of the House of Representatives,5802,,IS,1076,,2015-01-02,1,2015-02-02,1,0,,0,348,343,368,Libya,620,4,2.5-2016
2-12136,1989,3,Muslims (Sri Lanka),4004,,Tamil,2297,,1989-04-12,2,1989-05-25,3,1,1989-05-25,3,25,25,25,Sri Lanka,780,3,2.5-2016
2-12152,2013,3,Atakar,4022,,Fulani,1461,,2013-03-19,1,2013-03-21,1,1,2013-09-02,1,77,77,78,Nigeria,475,4,2.5-2016
2-12154,2013,3,Hausa,1462,,Jukun,1821,,2013-02-23,2,2013-02-23,2,1,2013-05-03,1,70,70,70,Nigeria,475,4,2.5-2016
2-12175,2003,3,Assamese,2922,,Bihari,4044,,2003-11-15,1,2003-11-19,1,1,2003-12-08,1,55,55,58,India,750,3,2.5-2016
2-122,2006,3,Murle,1514,,Nuer,1519,,2006-04-15,2,2006-04-22,1,1,2006-04-29,1,59,59,59,Ethiopia,530,4,2.5-2016
2-12284,2013,3,Agatu,4120,,Tiv,1911,,2013-06-04,1,2013-06-04,1,1,2013-06-13,1,42,42,43,Nigeria,475,4,2.5-2016
2-123,2004,1,NDPVF,1414,,NDV,1516,,2004-02-21,1,2004-08-23,1,1,2004-11-04,1,59,59,60,Nigeria,475,4,2.5-2016
2-12306,2013,1,M23,2045,,M23-R,4130,,2013-02-24,1,2013-03-10,2,1,2013-03-16,1,41,36,412,DR Congo (Zaire),490,4,2.5-2016
2-12328,2013,1,APCLS,2091,,NDC,3037,,2013-04-28,1,2013-05-31,3,1,2013-10-11,1,66,66,177,DR Congo (Zaire),490,4,2.5-2016
2-12337,2013,1,Hezbollah,1209,,Jabhat al-Nusra li al-Sham,2057,,2013-12-21,1,2013-12-21,1,0,,0,33,33,33,Lebanon,660,2,2.5-2016
2-12337,2014,1,Hezbollah,1209,,Jabhat al-Nusra li al-Sham,2057,,2013-12-21,1,2013-12-21,1,0,,0,67,67,70,"Syria, Lebanon","652, 660",2,2.5-2016
2-14805,2015,1,Jaysh al-Mukhtar,4357,,MEK,1151,,02/09/2013,1,2015-10-29,1,0,,0,26,26,26,Iraq,645,2,2.5-2016
2-12341,2013,3,Agatu,4120,,Fulani,1461,,2013-05-12,1,2013-05-12,1,1,2013-11-09,1,102,102,134,Nigeria,475,4,2.5-2016
2-14061,2015,1,Benghazi Revolutionaries Shura Council,4369,,Forces of the House of Representatives,5802,,01/03/2014,1,2015-01-10,2,0,,0,428,418,430,Libya,620,4,2.5-2016
2-12350,2013,3,Arab Brabich ,4171,,Tuareg Indinan ,4172,,2013-08-15,1,2013-08-20,1,1,2013-08-20,1,27,27,27,Algeria,615,4,2.5-2016
2-12362,2013,1,Brigades of Aisha,4183,,Hezbollah,1209,,2013-08-15,1,2013-08-15,1,1,2013-08-15,1,26,21,27,Lebanon,660,2,2.5-2016
2-12378,2013,1,anti-Balaka,4201,,FPRC,4007,,2013-08-26,1,2013-10-02,1,0,,0,238,238,330,Central African Republic,482,4,2.5-2016
2-12378,2014,1,anti-Balaka,4201,,FPRC,4007,,2013-08-26,1,2013-10-02,1,1,2014-10-07,1,476,435,595,Central African Republic,482,4,2.5-2016
2-12384,2013,3,Beni Hussein,2136,,Rizeigat Abbala,1536,,2013-01-09,1,2013-01-09,1,0,,0,311,255,894,Sudan,625,4,2.5-2016
2-12384,2014,3,Beni Hussein,2136,,Rizeigat Abbala,1536,,2013-01-09,1,2013-01-09,1,1,2014-08-28,2,76,76,76,Sudan,625,4,2.5-2016
2-12385,2013,3,Awlad Heiban (Misseriya) ,4203,,"Awlad Metanin (Misseriya), Awlad Serur (Misseriya) ",562580,"4204, 4531",2013-01-06,1,2013-01-06,1,1,2013-01-06,1,80,80,80,Sudan,625,4,2.5-2016
2-12388,2013,3,Beni Halba Baggara,1873,,Gimir,2131,,2013-03-01,1,2013-05-03,1,1,2013-06-24,1,177,177,235,Sudan,625,4,2.5-2016
2-12393,2013,1,Ansaar ul-Islam,1243,,TTP,1199,,2013-01-28,2,2013-01-28,2,1,2013-03-19,1,211,211,211,Pakistan,770,3,2.5-2016
2-124,2001,1,NSCN-IM,1065,,NSCN-K,1066,,1999-08-19,1,2001-04-30,3,1,2001-12-11,1,59,59,59,India,750,3,2.5-2016
2-124,2005,1,NSCN-IM,1065,,NSCN-K,1066,,1999-08-19,1,2005-09-10,1,0,,0,29,22,30,India,750,3,2.5-2016
2-124,2006,1,NSCN-IM,1065,,NSCN-K,1066,,1999-08-19,1,2005-09-10,1,0,,0,68,67,80,India,750,3,2.5-2016
2-124,2007,1,NSCN-IM,1065,,NSCN-K,1066,,1999-08-19,1,2005-09-10,1,0,,0,76,76,82,India,750,3,2.5-2016
2-124,2008,1,NSCN-IM,1065,,NSCN-K,1066,,1999-08-19,1,2005-09-10,1,1,2008-12-11,1,51,51,59,India,750,3,2.5-2016
2-124,2011,1,NSCN-IM,1065,,NSCN-K,1066,,1999-08-19,1,2011-02-25,2,1,2011-03-15,1,37,37,37,India,750,3,2.5-2016
2-12400,2013,3,Misseriya,1904,,Salamat Baggara,1872,,2013-04-11,1,2013-04-11,1,0,,0,456,311,751,Sudan,625,4,2.5-2016
2-12400,2014,3,Misseriya,1904,,Salamat Baggara,1872,,2013-04-11,1,2013-04-11,1,1,2014-06-21,1,57,57,57,Sudan,625,4,2.5-2016
2-12410,2013,3,Hamar,1964,,Ma'aliyah,1498,,2013-12-05,1,2013-12-05,1,0,,0,38,38,38,Sudan,625,4,2.5-2016
2-12410,2014,3,Hamar,1964,,Ma'aliyah,1498,,2013-12-05,1,2013-12-05,1,1,2014-07-01,2,52,52,56,Sudan,625,4,2.5-2016
2-12441,2014,3,Eggon,2059,,Fulani,1461,,2014-08-22,2,2014-08-24,1,1,2014-11-23,2,202,202,362,Nigeria,475,4,2.5-2016
2-14757,2015,1,Derna Mujahideen Shura Council,6371,,IS,1076,,2015-06-10,2,2015-06-12,1,0,,0,133,122,139,Libya,620,4,2.5-2016
2-12467,2012,3,Ikpanaya,4290,,Ntan Obu-Ukpe,4291,,2012-05-31,3,2012-05-31,3,1,2012-05-31,3,41,41,41,Nigeria,475,4,2.5-2016
2-125,2008,1,NSCN-IM,1065,,NSCN-U,1659,,2008-04-17,1,2008-06-07,1,1,2008-08-01,1,36,36,49,India,750,3,2.5-2016
2-12337,2015,1,Hezbollah,1209,,Jabhat al-Nusra li al-Sham,2057,,2013-12-21,1,2013-12-21,1,0,,0,46,11,46,Lebanon,660,2,2.5-2016
2-12589,2013,1,MAA,4380,,CMA,2043,,2013-02-23,5,2013-08-16,1,1,2013-08-16,1,28,28,28,Mali,432,4,2.5-2016
2-12635,2004,1,Amigos dos Amigos,4416,,Comando Vermelho,1633,,2002-02-25,1,2004-11-22,1,1,2004-12-29,2,51,51,51,Brazil,140,5,2.5-2016
2-12635,2009,1,Amigos dos Amigos,4416,,Comando Vermelho,1633,,2002-02-25,1,2009-10-24,2,1,2009-10-24,2,40,40,45,Brazil,140,5,2.5-2016
2-12654,1999,1,Barriga gang,4431,,Sujeirinha gang,4432,,1997-05-09,1,1999-12-13,1,1,1999-12-25,1,30,30,30,Brazil,140,5,2.5-2016
2-12693,2011,1,Comando Vermelho,1633,,Terceiro Comando Puro,4462,,2004-07-14,1,2011-09-05,5,1,2011-09-05,5,31,31,31,Brazil,140,5,2.5-2016
2-12696,2013,3,Borana,1445,,"Burji, Gabra",553080,"1463, 1446",2013-07-15,1,2013-12-06,2,1,2013-12-08,1,39,39,174,Kenya,501,4,2.5-2016
2-150,2008,3,Toposa,1553,,Turkana,1554,,1992-10-31,3,2008-08-29,1,1,2008-08-31,1,25,25,33,Kenya,501,4,2.5-2016
2-11663,2015,1,Beltrán Leyva Cartel,1974,,Sinaloa Cartel,1636,,2008-05-08,1,2014-08-01,1,0,,0,32,32,247,Mexico,70,5,2.5-2016
2-11668,2014,1,Guerreros Unidos,3298,,Los Rojos,3299,,2014-02-21,2,2014-05-31,5,0,,0,164,164,166,Mexico,70,5,2.5-2016
2-12703,2004,3,Al-Maraziq,4478,,Al-Saida,4477,,2003-12-31,5,2004-12-03,3,1,2004-12-03,3,28,28,30,Yemen (North Yemen),678,2,2.5-2016
2-462,2015,1,Cartel Independiente de Acapulco,2037,,La Barredora,2038,,01/08/2011,1,09/18/2015,5,0,,0,754,41,754,Mexico,70,5,2.5-2016
2-12701,2013,1,Autodefensas Unidas de Michoacán,4475,,Los Caballeros Templarios,2035,,2013-04-28,1,2013-10-27,1,1,2013-11-16,1,38,35,48,Mexico,70,5,2.5-2016
2-12712,2013,1,Gulf Cartel - Ramirez Treviño faction,4486,,Gulf Cartel - Villareal faction,4487,,2013-03-10,1,2013-03-10,1,1,2013-03-10,1,35,2,50,Mexico,70,5,2.5-2016
2-128,1999,3,Ogaden clan (Darod),1522,,Sheikhal clan (Dir),1542,,1999-09-01,2,1999-09-09,3,1,1999-09-09,3,70,70,70,Somalia,520,4,2.5-2016
2-128,2002,3,Ogaden clan (Darod),1522,,Sheikhal clan (Dir),1542,,1999-09-01,2,2002-03-31,3,1,2002-05-31,3,435,435,435,Ethiopia,530,4,2.5-2016
2-129,2000,3,Oromo,1523,,Somali (Ethiopia),1545,,1991-07-07,1,2000-07-16,2,1,2000-07-16,2,40,40,40,Ethiopia,530,4,2.5-2016
2-129,2003,3,Oromo,1523,,Somali (Ethiopia),1545,,1991-07-07,1,2003-12-26,1,1,2003-12-26,1,33,33,33,Ethiopia,530,4,2.5-2016
2-129,2005,3,Oromo,1523,,Somali (Ethiopia),1545,,1991-07-07,1,2005-02-22,1,1,2005-06-30,5,102,102,102,Ethiopia,530,4,2.5-2016
2-13,2006,3,Amaro,1432,,Guji,1467,,2006-10-16,2,2006-10-16,2,1,2006-10-16,2,30,30,30,Ethiopia,530,4,2.5-2016
2-130,2007,1,Palipehutu-FNL,1278,,Palipehutu-FNL - LP,1647,,2007-09-04,1,2007-09-04,1,1,2007-10-21,1,52,46,52,Burundi,516,4,2.5-2016
2-131,2002,1,PDF,1526,,SSDF,1546,,2002-11-09,1,2002-11-09,1,1,2002-11-09,1,38,38,38,Sudan,625,4,2.5-2016
2-132,2003,3,Pian Karimojong,1528,,Pokot,1529,,1998-04-13,1,2003-11-30,3,1,2003-11-30,3,34,34,34,Uganda,500,4,2.5-2016
2-133,2003,3,Pokot,1529,,Sabiny,1541,,2003-04-11,1,2003-04-11,1,1,2003-04-11,1,30,30,50,Uganda,500,4,2.5-2016
2-134,2004,1,Puntland state of Somalia,1530,,Republic of Somaliland,1535,,2002-12-07,1,2004-10-28,1,1,2004-11-17,2,34,34,125,Somalia,520,4,2.5-2016
2-135,1998,1,Mayi Mayi,1505,,RCD,1270,,1998-08-23,1,1998-09-11,2,0,,0,29,29,32,DR Congo (Zaire),490,4,2.5-2016
2-135,1999,1,Mayi Mayi,1505,,RCD,1270,,1998-08-23,1,1998-09-11,2,0,,0,115,115,187,DR Congo (Zaire),490,4,2.5-2016
2-135,2000,1,Mayi Mayi,1505,,RCD,1270,,1998-08-23,1,1998-09-11,2,1,2000-12-14,2,107,107,107,DR Congo (Zaire),490,4,2.5-2016
2-135,2002,1,Mayi Mayi,1505,,RCD,1270,,1998-08-23,1,2002-03-15,1,0,,0,378,378,466,DR Congo (Zaire),490,4,2.5-2016
2-135,2003,1,Mayi Mayi,1505,,RCD,1270,,1998-08-23,1,2002-03-15,1,1,2003-07-31,1,53,53,85,DR Congo (Zaire),490,4,2.5-2016
2-136,2002,1,FRF,1532,,RCD,1270,,2002-02-25,3,2002-04-16,2,1,2002-04-16,2,221,221,221,DR Congo (Zaire),490,4,2.5-2016
2-137,2003,1,RCD-K-ML ,1650,,RCD-N,1511,,2003-03-16,1,2003-03-16,1,1,2003-03-16,1,45,45,45,DR Congo (Zaire),490,4,2.5-2016
2-13767,2013,1,"IS, Jabhat al-Nusra li al-Sham",565281,"1076, 2057",PYD,2100,,2013-08-02,1,2013-09-18,2,1,2013-10-31,1,115,115,160,Syria,652,2,2.5-2016
2-13768,2013,1,Jabhat al-Nusra li al-Sham,2057,,PYD,2100,,2013-01-19,2,2013-01-19,2,1,2013-07-19,1,56,56,71,Syria,652,2,2.5-2016
2-13769,2013,1,"FSA, Jabhat al-Nusra li al-Sham, Mish'al at Tammu Brigade",565280,"5538, 2015, 2057",PYD,2100,,2013-01-26,3,2013-01-26,3,1,2013-01-26,3,41,41,41,Syria,652,2,2.5-2016
2-13770,2013,1,FSA,2015,,IS,1076,,2013-07-07,2,2013-09-20,2,0,,0,71,71,84,"Syria, Iraq","652, 645",2,2.5-2016
2-13770,2014,1,FSA,2015,,IS,1076,,2013-07-07,2,2013-09-20,2,1,2014-12-18,1,49,39,67,Syria,652,2,2.5-2016
2-13771,2013,1,FSA,2015,,PYD,2100,,2012-10-26,1,2013-06-06,3,1,2013-07-19,2,34,34,44,Syria,652,2,2.5-2016
